first,second,third,fourth,fifth,sixth,seventh,eighth,ninth
4,12,2,24,28,15,5,5,1
19,19,17,75,33,22,19,5,2
8,7,2,30,19,10,5,2,0
2,6,2,15,8,2,3,2,1
6,7,4,25,14,12,6,0,1
10,13,8,29,24,15,5,3,0
9,5,3,19,11,9,3,1,0
18,26,15,77,52,40,14,14,2
,,,,,,,,
