first,second,third,fourth,fifth,sixth,seventh,eighth,ninth
0,2,0,3,1,2,0,2,0
6,21,13,77,59,100,53,50,24
7,11,5,29,31,38,26,18,11
0,2,2,6,4,8,3,3,2
2,6,0,12,12,25,16,3,2
3,2,0,7,5,14,5,3,1
3,10,2,17,10,29,19,10,8
8,13,10,35,32,50,31,13,6
8,19,8,62,40,58,44,33,13
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
