"abbrv","oxford"
"TA",1592
"3H6",1591
"SHR",1590.5
"E3",1593
"2H6",1591
"TGV",1590.5
"1H6",1592
"ERR",1594
"ROM",1595
"LLL",1594.5
"R3",1592.5
"MND",1595
"R2",1595
"SPT",1602
"JN",1596
"AYL",1599.5
"ADO",1598
"MV",1596.5
"1H4",1596.5
"2H4",1597.5
"TRO",1602
"WIV",1597.5
"HAM",1600.5
"H5",1598.5
"JC",1599
"TN",1601
"OTH",1603.5
"MM",1603
"STM",1603.5
"AWW",1604.5
"TIM",1605
"LR",1605.5
"MAC",1606
"PER",1607
"TMP",1611
"ANT",1606
"COR",1608
"TNK",1613.5
"WT",1609
"H8",1613
"CYM",1610
"ARD",1591
