"prop","pause","play"
0.15358361774744,"fifth","Alls Well"
0.156043956043956,"fifth","Timon"
0.0959087860496311,"fifth","King Lear"
0.140865384615385,"fifth","Antony and Cleopatra"
0.121652639632747,"fifth","Macbeth"
0.116704805491991,"fifth","Pericles"
0.109215017064846,"fifth","Coriolanus"
0.118046132971506,"fifth","Winters Tale"
0.121389396709324,"fifth","Cymbeline"
0.133190883190883,"fifth","Tempest"
0.132612966601179,"fifth","Henry 8"
0.152447552447552,"fifth","Two Noble Kinsmen"
0.171779141104294,"sixth","Taming of the Shrew"
0.194736842105263,"sixth","Two Gentlemen Verona"
0.203569068076669,"sixth","2 Henry 6"
0.167632850241546,"sixth","3 Henry 6"
0.135876840696118,"sixth","1 Henry 6"
0.196897374701671,"sixth","Titus Andronicus"
0.182976973684211,"sixth","Richard 3"
0.192691029900332,"sixth","Edward 3"
0.199743918053777,"sixth","Comedy of Errors"
0.200968523002421,"sixth","Loves Labours Lost"
0.17286432160804,"sixth","Midsummer Nights Dream"
0.205817782656422,"sixth","Richard 2"
0.193450576106731,"sixth","Romeo and Juliet"
0.18552036199095,"sixth","King John"
0.206477732793522,"sixth","1 Henry 4"
0.211576846307385,"sixth","Merchant of Venice"
0.194736842105263,"sixth","2 Henry 4"
0.2125,"sixth","Merry Wives"
0.213114754098361,"sixth","Much Ado"
0.220802919708029,"sixth","Henry 5"
0.229755178907721,"sixth","Julius Caesar"
0.253833049403748,"sixth","As You Like It"
0.269640479360852,"sixth","Hamlet"
0.251366120218579,"sixth","Twelfth Night"
0.167597765363128,"sixth","Spanish Tragedy Add."
0.228882833787466,"sixth","Troilus and Cressida"
0.2910927456382,"sixth","Measure for Measure"
0.240897755610973,"sixth","Othello"
0.25,"sixth","Sir Thomas More Iid"
0.31740614334471,"sixth","Alls Well"
0.254945054945055,"sixth","Timon"
0.300469483568075,"sixth","King Lear"
0.266346153846154,"sixth","Antony and Cleopatra"
0.308339709257842,"sixth","Macbeth"
0.302059496567506,"sixth","Pericles"
0.260848366650414,"sixth","Coriolanus"
0.222523744911805,"sixth","Winters Tale"
0.23436928702011,"sixth","Cymbeline"
0.237179487179487,"sixth","Tempest"
0.256385068762279,"sixth","Henry 8"
0.26013986013986,"sixth","Two Noble Kinsmen"
0.0482033304119194,"seventh","Taming of the Shrew"
0.0666666666666667,"seventh","Two Gentlemen Verona"
0.0773298083278255,"seventh","2 Henry 6"
0.0714975845410628,"seventh","3 Henry 6"
0.0850066934404284,"seventh","1 Henry 6"
0.0536992840095465,"seventh","Titus Andronicus"
0.0764802631578947,"seventh","Richard 3"
0.0631229235880399,"seventh","Edward 3"
0.0806658130601793,"seventh","Comedy of Errors"
0.0653753026634383,"seventh","Loves Labours Lost"
0.0834170854271357,"seventh","Midsummer Nights Dream"
0.0713501646542261,"seventh","Richard 2"
0.0582171012734991,"seventh","Romeo and Juliet"
0.085972850678733,"seventh","King John"
0.123481781376518,"seventh","1 Henry 4"
0.131736526946108,"seventh","Merchant of Venice"
0.0954887218045113,"seventh","2 Henry 4"
0.075,"seventh","Merry Wives"
0.0983606557377049,"seventh","Much Ado"
0.133211678832117,"seventh","Henry 5"
0.103578154425612,"seventh","Julius Caesar"
0.0817717206132879,"seventh","As You Like It"
0.113848202396804,"seventh","Hamlet"
0.109289617486339,"seventh","Twelfth Night"
0.0782122905027933,"seventh","Spanish Tragedy Add."
0.0912806539509537,"seventh","Troilus and Cressida"
0.110192837465565,"seventh","Measure for Measure"
0.103740648379052,"seventh","Othello"
0.28125,"seventh","Sir Thomas More Iid"
0.139931740614334,"seventh","Alls Well"
0.161538461538462,"seventh","Timon"
0.122736418511066,"seventh","King Lear"
0.14375,"seventh","Antony and Cleopatra"
0.108645753634277,"seventh","Macbeth"
0.151029748283753,"seventh","Pericles"
0.153096050706972,"seventh","Coriolanus"
0.138851198552691,"seventh","Winters Tale"
0.146617915904936,"seventh","Cymbeline"
0.13960113960114,"seventh","Tempest"
0.196463654223969,"seventh","Henry 8"
0.18041958041958,"seventh","Two Noble Kinsmen"
0.0271691498685364,"eighth","Taming of the Shrew"
0.0342105263157895,"eighth","Two Gentlemen Verona"
0.0204890945142102,"eighth","2 Henry 6"
0.0342995169082126,"eighth","3 Henry 6"
0.0327978580990629,"eighth","1 Henry 6"
0.013126491646778,"eighth","Titus Andronicus"
0.0444078947368421,"eighth","Richard 3"
0.00664451827242525,"eighth","Edward 3"
0.0320102432778489,"eighth","Comedy of Errors"
0.036319612590799,"eighth","Loves Labours Lost"
0.0331658291457286,"eighth","Midsummer Nights Dream"
0.0433589462129528,"eighth","Richard 2"
0.0357792601576713,"eighth","Romeo and Juliet"
0.0420168067226891,"eighth","King John"
0.0313765182186235,"eighth","1 Henry 4"
0.0239520958083832,"eighth","Merchant of Venice"
0.0593984962406015,"eighth","2 Henry 4"
0.0625,"eighth","Merry Wives"
0.0327868852459016,"eighth","Much Ado"
0.0465328467153285,"eighth","Henry 5"
0.0382925298179535,"eighth","Julius Caesar"
0.0357751277683135,"eighth","As You Like It"
0.0439414114513981,"eighth","Hamlet"
0.0710382513661202,"eighth","Twelfth Night"
0.0446927374301676,"eighth","Spanish Tragedy Add."
0.053133514986376,"eighth","Troilus and Cressida"
0.0697887970615243,"eighth","Measure for Measure"
0.0763092269326683,"eighth","Othello"
0,"eighth","Sir Thomas More Iid"
0.0614334470989761,"eighth","Alls Well"
0.0868131868131868,"eighth","Timon"
0.0838363514419852,"eighth","King Lear"
0.122596153846154,"eighth","Antony and Cleopatra"
0.103289977046672,"eighth","Macbeth"
0.0938215102974828,"eighth","Pericles"
0.128717698683569,"eighth","Coriolanus"
0.170963364993216,"eighth","Winters Tale"
0.153930530164534,"eighth","Cymbeline"
0.118945868945869,"eighth","Tempest"
0.119842829076621,"eighth","Henry 8"
0.128671328671329,"eighth","Two Noble Kinsmen"
0.00613496932515337,"ninth","Taming of the Shrew"
0.0105263157894737,"ninth","Two Gentlemen Verona"
0.00859220092531395,"ninth","2 Henry 6"
0.00144927536231884,"ninth","3 Henry 6"
0.00200803212851406,"ninth","1 Henry 6"
0.0035799522673031,"ninth","Titus Andronicus"
0.00822368421052632,"ninth","Richard 3"
0.00664451827242525,"ninth","Edward 3"
0.00256081946222791,"ninth","Comedy of Errors"
0.00968523002421308,"ninth","Loves Labours Lost"
0.0120603015075377,"ninth","Midsummer Nights Dream"
0.00768386388583974,"ninth","Richard 2"
0.0115221346270467,"ninth","Romeo and Juliet"
0.015513897866839,"ninth","King John"
0.0131578947368421,"ninth","1 Henry 4"
0.00898203592814371,"ninth","Merchant of Venice"
0.0135338345864662,"ninth","2 Henry 4"
0.0333333333333333,"ninth","Merry Wives"
0.0191256830601093,"ninth","Much Ado"
0.0127737226277372,"ninth","Henry 5"
0.0131826741996234,"ninth","Julius Caesar"
0.00511073253833049,"ninth","As You Like It"
0.0106524633821571,"ninth","Hamlet"
0.00910746812386157,"ninth","Twelfth Night"
0.0111731843575419,"ninth","Spanish Tragedy Add."
0.0129427792915531,"ninth","Troilus and Cressida"
0.0128558310376492,"ninth","Measure for Measure"
0.0209476309226933,"ninth","Othello"
0,"ninth","Sir Thomas More Iid"
0.0170648464163823,"ninth","Alls Well"
0.0241758241758242,"ninth","Timon"
0.0268276324614353,"ninth","King Lear"
0.0514423076923077,"ninth","Antony and Cleopatra"
0.0260137719969396,"ninth","Macbeth"
0.0480549199084668,"ninth","Pericles"
0.0570453437347635,"ninth","Coriolanus"
0.060153776571687,"ninth","Winters Tale"
0.0683729433272395,"ninth","Cymbeline"
0.0605413105413105,"ninth","Tempest"
0.0599214145383104,"ninth","Henry 8"
0.0447552447552448,"ninth","Two Noble Kinsmen"
