"prop","pause","play","titles"
0.285067873303167,"4",14,"King John"
0.251012145748988,"4",15,"1 Henry 4"
0.271457085828343,"4",16,"Merchant of Venice"
0.255639097744361,"4",17,"2 Henry 4"
0.254166666666667,"4",18,"Merry Wives"
0.245901639344262,"4",19,"Much Ado"
0.259124087591241,"4",20,"Henry 5"
0.236032642812304,"4",21,"Julius Caesar"
0.281090289608177,"4",22,"As You Like It"
0.264314247669774,"4",23,"Hamlet"
0.247723132969035,"4",24,"Twelfth Night"
0.184357541899441,"4",25,"Spanish Tragedy Add."
0.299046321525886,"4",26,"Troilus and Cressida"
0.223140495867769,"4",27,"Measure for Measure"
0.270324189526185,"4",28,"Othello"
0.28125,"4",29,"Sir Thomas More Iid"
0.233219567690557,"4",30,"Alls Well"
0.206593406593407,"4",31,"Timon"
0.237424547283702,"4",32,"King Lear"
0.173076923076923,"4",33,"Antony and Cleopatra"
0.206579954093344,"4",34,"Macbeth"
0.183066361556064,"4",35,"Pericles"
0.185763042418333,"4",36,"Coriolanus"
0.171867933061963,"4",37,"Winters Tale"
0.157952468007313,"4",38,"Cymbeline"
0.189458689458689,"4",39,"Tempest"
0.153241650294695,"4",40,"Henry 8"
0.155244755244755,"4",41,"Two Noble Kinsmen"
0.193689745836985,"5",1,"Taming of the Shrew"
0.150877192982456,"5",2,"Two Gentlemen Verona"
0.148711169861203,"5",3,"2 Henry 6"
0.149275362318841,"5",4,"3 Henry 6"
0.203480589022758,"5",5,"1 Henry 6"
0.176610978520286,"5",6,"Titus Andronicus"
0.176809210526316,"5",7,"Richard 3"
0.205980066445183,"5",8,"Edward 3"
0.179257362355954,"5",9,"Comedy of Errors"
0.186440677966102,"5",10,"Loves Labours Lost"
0.230150753768844,"5",11,"Midsummer Nights Dream"
0.177277716794731,"5",12,"Richard 2"
0.195876288659794,"5",13,"Romeo and Juliet"
0.203619909502262,"5",14,"King John"
0.189271255060729,"5",15,"1 Henry 4"
0.205588822355289,"5",16,"Merchant of Venice"
0.162406015037594,"5",17,"2 Henry 4"
0.141666666666667,"5",18,"Merry Wives"
0.188524590163934,"5",19,"Much Ado"
0.180656934306569,"5",20,"Henry 5"
0.195229127432517,"5",21,"Julius Caesar"
0.189097103918228,"5",22,"As You Like It"
0.149800266311585,"5",23,"Hamlet"
0.182149362477231,"5",24,"Twelfth Night"
0.17877094972067,"5",25,"Spanish Tragedy Add."
0.145095367847411,"5",26,"Troilus and Cressida"
0.143250688705234,"5",27,"Measure for Measure"
0.118703241895262,"5",28,"Othello"
0.1875,"5",29,"Sir Thomas More Iid"
0.15358361774744,"5",30,"Alls Well"
0.156043956043956,"5",31,"Timon"
0.0959087860496311,"5",32,"King Lear"
0.140865384615385,"5",33,"Antony and Cleopatra"
0.121652639632747,"5",34,"Macbeth"
0.116704805491991,"5",35,"Pericles"
0.109215017064846,"5",36,"Coriolanus"
0.118046132971506,"5",37,"Winters Tale"
0.121389396709324,"5",38,"Cymbeline"
0.133190883190883,"5",39,"Tempest"
0.132612966601179,"5",40,"Henry 8"
0.152447552447552,"5",41,"Two Noble Kinsmen"
0.171779141104294,"6",1,"Taming of the Shrew"
0.194736842105263,"6",2,"Two Gentlemen Verona"
0.203569068076669,"6",3,"2 Henry 6"
0.167632850241546,"6",4,"3 Henry 6"
0.135876840696118,"6",5,"1 Henry 6"
0.196897374701671,"6",6,"Titus Andronicus"
0.182976973684211,"6",7,"Richard 3"
0.192691029900332,"6",8,"Edward 3"
0.199743918053777,"6",9,"Comedy of Errors"
0.200968523002421,"6",10,"Loves Labours Lost"
0.17286432160804,"6",11,"Midsummer Nights Dream"
0.205817782656422,"6",12,"Richard 2"
0.193450576106731,"6",13,"Romeo and Juliet"
0.18552036199095,"6",14,"King John"
0.206477732793522,"6",15,"1 Henry 4"
0.211576846307385,"6",16,"Merchant of Venice"
0.194736842105263,"6",17,"2 Henry 4"
0.2125,"6",18,"Merry Wives"
0.213114754098361,"6",19,"Much Ado"
0.220802919708029,"6",20,"Henry 5"
0.229755178907721,"6",21,"Julius Caesar"
0.253833049403748,"6",22,"As You Like It"
0.269640479360852,"6",23,"Hamlet"
0.251366120218579,"6",24,"Twelfth Night"
0.167597765363128,"6",25,"Spanish Tragedy Add."
0.228882833787466,"6",26,"Troilus and Cressida"
0.2910927456382,"6",27,"Measure for Measure"
0.240897755610973,"6",28,"Othello"
0.25,"6",29,"Sir Thomas More Iid"
0.31740614334471,"6",30,"Alls Well"
0.254945054945055,"6",31,"Timon"
0.300469483568075,"6",32,"King Lear"
0.266346153846154,"6",33,"Antony and Cleopatra"
0.308339709257842,"6",34,"Macbeth"
0.302059496567506,"6",35,"Pericles"
0.260848366650414,"6",36,"Coriolanus"
0.222523744911805,"6",37,"Winters Tale"
0.23436928702011,"6",38,"Cymbeline"
0.237179487179487,"6",39,"Tempest"
0.256385068762279,"6",40,"Henry 8"
0.26013986013986,"6",41,"Two Noble Kinsmen"
0.0482033304119194,"7",1,"Taming of the Shrew"
0.0666666666666667,"7",2,"Two Gentlemen Verona"
0.0773298083278255,"7",3,"2 Henry 6"
0.0714975845410628,"7",4,"3 Henry 6"
0.0850066934404284,"7",5,"1 Henry 6"
0.0536992840095465,"7",6,"Titus Andronicus"
0.0764802631578947,"7",7,"Richard 3"
0.0631229235880399,"7",8,"Edward 3"
0.0806658130601793,"7",9,"Comedy of Errors"
0.0653753026634383,"7",10,"Loves Labours Lost"
0.0834170854271357,"7",11,"Midsummer Nights Dream"
0.0713501646542261,"7",12,"Richard 2"
0.0582171012734991,"7",13,"Romeo and Juliet"
0.085972850678733,"7",14,"King John"
0.123481781376518,"7",15,"1 Henry 4"
0.131736526946108,"7",16,"Merchant of Venice"
0.0954887218045113,"7",17,"2 Henry 4"
0.075,"7",18,"Merry Wives"
0.0983606557377049,"7",19,"Much Ado"
0.133211678832117,"7",20,"Henry 5"
0.103578154425612,"7",21,"Julius Caesar"
0.0817717206132879,"7",22,"As You Like It"
0.113848202396804,"7",23,"Hamlet"
0.109289617486339,"7",24,"Twelfth Night"
0.0782122905027933,"7",25,"Spanish Tragedy Add."
0.0912806539509537,"7",26,"Troilus and Cressida"
0.110192837465565,"7",27,"Measure for Measure"
0.103740648379052,"7",28,"Othello"
0.28125,"7",29,"Sir Thomas More Iid"
0.139931740614334,"7",30,"Alls Well"
0.161538461538462,"7",31,"Timon"
0.122736418511066,"7",32,"King Lear"
0.14375,"7",33,"Antony and Cleopatra"
0.108645753634277,"7",34,"Macbeth"
0.151029748283753,"7",35,"Pericles"
0.153096050706972,"7",36,"Coriolanus"
0.138851198552691,"7",37,"Winters Tale"
0.146617915904936,"7",38,"Cymbeline"
0.13960113960114,"7",39,"Tempest"
0.196463654223969,"7",40,"Henry 8"
0.18041958041958,"7",41,"Two Noble Kinsmen"
0.0271691498685364,"8",1,"Taming of the Shrew"
0.0342105263157895,"8",2,"Two Gentlemen Verona"
0.0204890945142102,"8",3,"2 Henry 6"
0.0342995169082126,"8",4,"3 Henry 6"
0.0327978580990629,"8",5,"1 Henry 6"
0.013126491646778,"8",6,"Titus Andronicus"
0.0444078947368421,"8",7,"Richard 3"
0.00664451827242525,"8",8,"Edward 3"
0.0320102432778489,"8",9,"Comedy of Errors"
0.036319612590799,"8",10,"Loves Labours Lost"
0.0331658291457286,"8",11,"Midsummer Nights Dream"
0.0433589462129528,"8",12,"Richard 2"
0.0357792601576713,"8",13,"Romeo and Juliet"
0.0420168067226891,"8",14,"King John"
0.0313765182186235,"8",15,"1 Henry 4"
